race_eth,YEAR,weighted_count,count,persons_per_bedroom
AIAN,1970,722700,7227,2.805696231723629
AAPI,1970,1422900,14229,1.886971443296556
Black,1970,21648000,216480,2.110219881744274
Hispanic,1970,7686400,76864,2.3585659953510927
White,1970,165565100,1655651,1.496169532910831
Other,1970,159300,1593,2.0537560159029082
AIAN,1980,1411700,14117,2.0659878161082394
AAPI,1980,3513300,35133,1.9397835842844775
Black,1980,25388800,253888,1.7190035895092874
Hispanic,1980,14453000,144530,2.1117129085080313
White,1980,176018300,1760183,1.2604111523252692
Other,1980,206800,2068,1.603989361702128
AIAN,1990,1825707,21108,1.7982347569096988
AAPI,1990,6827518,65485,2.0618897452925053
Black,1990,27897157,246966,1.6156850779931913
Hispanic,1990,21373648,206616,2.4107462110975755
White,1990,183342998,1905513,1.174864596592526
Other,1990,225235,2172,1.9913681266233048
AIAN,2000,2009829,23871,1.7418429544669376
AAPI,2000,10208813,94361,1.9232769617780237
Black,2000,32087945,293423,1.556022605997362
Hispanic,2000,34517902,331416,2.504363892587288
White,2000,189417522,1945636,1.1329299846047636
Multiracial,2000,4927206,47355,1.553744752435086
Other,2000,434876,4123,1.6605237278365939
AIAN,2010,1978282,125967,1.4070292641123285
AAPI,2010,14846932,680014,1.3918695570685364
Black,2010,36061464,1449479,1.2732796973153004
Hispanic,2010,49571393,1994509,1.6961102918774191
White,2010,192178838,10207272,1.0529232370527697
Multiracial,2010,5860578,275448,1.3051019569514593
Other,2010,602256,24563,1.4346102543325983
AIAN,2020,1758501,129959,1.3889496603451863
AAPI,2020,18890010,878129,1.336830966914959
Black,2020,38464725,1248386,1.241791687492026
Hispanic,2020,60655552,2208376,1.5617152265522805
White,2020,190267943,9828948,1.0381596009756369
Multiracial,2020,11484909,534566,1.2498956064867393
Other,2020,1392192,56456,1.3182340630219578
