inctot_binned,YEAR,weighted_count,count,persons_per_bedroom
"$100,000 - $149,999",1970,4214200,42142,1.25666595478778
"less than $50,000",1970,95669900,956699,1.4489706619671952
"$50,000 - $99,999",1970,25338800,253388,1.3731170510574076
"$150,000 and greater",1970,2270600,22706,1.140409289761884
"$100,000 - $149,999",1980,5951700,59517,1.078830418199839
"$150,000 and greater",1980,3013800,30138,0.9937194461034807
"less than $50,000",1980,116397100,1163971,1.3001323200206005
"$50,000 - $99,999",1980,31539100,315391,1.1685443888168492
"$100,000 - $149,999",1990,8326385,81525,0.9783594641211836
"less than $50,000",1990,126886373,1291275,1.3113382692928444
"$50,000 - $99,999",1990,38603612,379003,1.0920516034440855
"$150,000 and greater",1990,4508573,44633,0.9136455629456747
"less than $50,000",2000,140471950,1417281,1.357192164224489
"$50,000 - $99,999",2000,43138364,421127,1.07025630441927
"$100,000 - $149,999",2000,10027575,94959,0.9899130065511033
"$150,000 and greater",2000,8096511,77736,0.9080502679899203
"$150,000 and greater",2010,7696640,419736,0.8539895655766643
"$100,000 - $149,999",2010,11212597,584532,0.9145083605519744
"less than $50,000",2010,164562858,8091024,1.164936670683426
"$50,000 - $99,999",2010,43918263,2256678,0.9686485680607819
"$100,000 - $149,999",2020,13992340,693703,0.9384306615857891
"$50,000 - $99,999",2020,52146950,2537487,0.9866492779859007
"less than $50,000",2020,172462223,8020876,1.1450746275413086
"$150,000 and greater",2020,11286291,589636,0.8792711558946453
