inctot_binned,YEAR,weighted_count,count,persons_per_bedroom
"less than $50,000",1970,95669900,956699,1.4489706619671865
"$50,000 - $99,999",1970,25338800,253388,1.373117051057408
"$100,000 - $149,999",1970,4214200,42142,1.2566659547877805
"$150,000 and greater",1970,2270600,22706,1.1404092897618856
"less than $50,000",1980,116397100,1163971,1.3001323200205106
"$50,000 - $99,999",1980,31539100,315391,1.1685443888168294
"$100,000 - $149,999",1980,5951700,59517,1.0788304181998434
"$150,000 and greater",1980,3013800,30138,0.99371944610348
"less than $50,000",1990,126886373,1291275,1.3113382692928555
"$50,000 - $99,999",1990,38603612,379003,1.0920516034440868
"$100,000 - $149,999",1990,8326385,81525,0.9783594641211856
"$150,000 and greater",1990,4508573,44633,0.9136455629456743
"less than $50,000",2000,140471950,1417281,1.357192164224476
"$50,000 - $99,999",2000,43138364,421127,1.0702563044192692
"$100,000 - $149,999",2000,10027575,94959,0.9899130065511017
"$150,000 and greater",2000,8096511,77736,0.9080502679899194
"less than $50,000",2010,164562858,8091024,1.164936670683427
"$50,000 - $99,999",2010,43918263,2256678,0.9686485680607781
"$100,000 - $149,999",2010,11212597,584532,0.9145083605519729
"$150,000 and greater",2010,7696640,419736,0.8539895655766633
"less than $50,000",2020,172462223,8020876,1.1450746275412995
"$50,000 - $99,999",2020,52146950,2537487,0.9866492779859031
"$100,000 - $149,999",2020,13992340,693703,0.938430661585787
"$150,000 and greater",2020,11286291,589636,0.8792711558946443
